username,user_id,likes,retweets,replies,quotes,engagement_value,success_score,performance,performance_encoded,tweet_length,word_count,hashtag_count,mention_count,url_count,emoji_count,caps_ratio,has_question,has_exclamation,has_ellipsis,day_of_week,hour,month,is_weekend,is_business_hours,is_peak_hours,days_since_last_tweet,sentiment_polarity,is_positive,is_negative,is_neutral,total_interactions,like_to_retweet_ratio,retweet_ratio,reply_ratio,like_ratio
rb_tweets,1034629472689971200,1,0,1,0,3,0.7777777777777778,Underperformed,0,118,20,0,1,0,1,0.01694915254237288,0,0,0,6,7,2,1,0,0,0.0,-0.5,0,1,0,2,1.0,0.0,0.5,0.5
rb_tweets,1034629472689971200,1,0,0,0,1,2.142857142857143,Viral,3,16,2,0,1,0,0,0.0,0,0,0,6,7,2,1,0,0,0.0,0.0,0,0,1,1,1.0,0.0,0.0,1.0
tomdnc,1355869080079634435,0,15,0,0,30,36.857142857142854,Viral,3,120,17,0,2,1,0,0.1,0,0,0,6,7,2,1,0,0,0.0,0.52,1,0,0,15,0.0,1.0,0.0,0.0
tomdnc,1355869080079634435,2,0,1,0,4,1.7142857142857142,Successful,2,47,6,0,2,0,0,0.1276595744680851,0,0,0,6,7,2,1,0,0,0.0,-0.6,0,1,0,3,2.0,0.0,0.3333333333333333,0.6666666666666666
rb_tweets,1034629472689971200,2,0,0,0,2,0.8571428571428571,Normal,1,57,5,0,0,1,0,0.03508771929824561,0,0,0,6,7,2,1,0,0,0.0,0.0,0,0,1,2,2.0,0.0,0.0,1.0
tsybka,1826161295051337729,2,1,1,0,6,0.14285714285714285,Underperformed,0,154,21,0,3,0,0,0.01948051948051948,0,0,0,6,7,2,1,0,0,0.0,-0.12499999999999997,0,1,0,4,2.0,0.25,0.25,0.5
rb_tweets,1034629472689971200,1,0,1,0,3,0.9230769230769231,Normal,1,81,15,0,1,0,0,0.024691358024691357,0,1,0,6,8,2,1,0,0,0.0,0.0,0,0,1,2,1.0,0.0,0.5,0.5
rb_tweets,1034629472689971200,2,0,0,0,2,16.923076923076923,Viral,3,90,16,0,1,0,0,0.0,0,0,0,6,8,2,1,0,0,0.0,0.43333333333333335,1,0,0,2,2.0,0.0,0.0,1.0
tsybka,1826161295051337729,5,0,2,0,9,1.2307692307692308,Normal,1,55,4,0,1,1,0,0.07272727272727272,0,0,0,6,8,2,1,0,0,0.0,0.0,0,0,1,7,5.0,0.0,0.2857142857142857,0.7142857142857143
MEPPonPM,1977097546725228544,0,0,0,0,0,0.3076923076923077,Underperformed,0,70,7,0,1,1,0,0.14285714285714285,0,0,0,6,9,2,1,1,0,0.0,0.5,1,0,0,0,0.0,0.0,0.0,0.0
MEPPonPM,1977097546725228544,1,0,4,0,9,1.1666666666666667,Normal,1,91,10,0,1,1,0,0.054945054945054944,0,0,0,6,9,2,1,1,0,0.0,0.5,1,0,0,5,1.0,0.0,0.8,0.2
CarOnPolymarket,1966325768499376131,81,0,8,1,97,0.46153846153846156,Underperformed,0,332,55,0,3,1,0,0.0391566265060241,1,0,0,6,9,2,1,1,0,0.0,0.17916666666666667,1,0,0,89,81.0,0.0,0.0898876404494382,0.9101123595505618
rb_tweets,1034629472689971200,0,0,0,0,0,0.0,Underperformed,0,25,3,0,1,0,0,0.04,0,0,0,6,9,2,1,1,0,0.0,0.4,1,0,0,0,0.0,0.0,0.0,0.0
rb_tweets,1034629472689971200,0,0,0,0,0,1.8333333333333333,Successful,2,36,4,0,1,0,0,0.0,0,0,0,6,10,2,1,1,0,0.0,0.65,1,0,0,0,0.0,0.0,0.0,0.0
rb_tweets,1034629472689971200,0,0,1,0,2,1.1666666666666667,Normal,1,77,11,0,1,0,0,0.03896103896103896,0,1,0,6,10,2,1,1,0,0.0,0.5,1,0,0,1,0.0,0.0,1.0,0.0
holy_moses7,1594141391357108224,24,0,1,0,26,0.15384615384615385,Underperformed,0,26,3,0,1,0,0,0.15384615384615385,0,0,0,6,10,2,1,1,0,0.0,-0.3,0,1,0,25,24.0,0.0,0.04,0.96
holy_moses7,1594141391357108224,6,0,0,0,6,68.46153846153847,Viral,3,49,8,0,2,0,0,0.061224489795918366,0,0,0,6,10,2,1,1,0,0.0,-0.2318181818181818,0,1,0,6,6.0,0.0,0.0,1.0
TheGreekTrader,1895237122145001473,6,0,1,0,8,1.0,Normal,1,66,10,0,2,0,0,0.09090909090909091,0,0,0,6,10,2,1,1,0,0.0,0.8,1,0,0,7,6.0,0.0,0.14285714285714285,0.8571428571428571
polymarket_O3O,1971251584429588482,4,0,3,0,10,2.2857142857142856,Viral,3,135,20,0,2,0,0,0.044444444444444446,1,0,0,6,11,2,1,1,0,0.0,-0.03809523809523809,0,0,1,7,4.0,0.0,0.42857142857142855,0.5714285714285714
tomdnc,1355869080079634435,6,0,2,0,10,2.0,Successful,2,49,7,0,1,0,0,0.04081632653061224,0,0,0,6,11,2,1,1,0,0.0,0.0,0,0,1,8,6.0,0.0,0.25,0.75
polymarket_O3O,1971251584429588482,1,0,0,0,1,4.714285714285714,Viral,3,22,5,0,1,0,0,0.0,0,0,0,6,11,2,1,1,0,0.0,0.0,0,0,1,1,1.0,0.0,0.0,1.0
Maximilian_evm,1943319550730326016,6,0,2,0,10,1.2,Normal,1,34,2,0,1,1,0,0.20588235294117646,0,0,0,6,13,2,1,1,1,0.0,0.0,0,0,1,8,6.0,0.0,0.25,0.75
tsybka,1826161295051337729,42,2,6,0,58,0.26666666666666666,Underperformed,0,330,57,0,0,2,0,0.05757575757575758,0,0,0,6,13,2,1,1,1,0.0,0.11249999999999999,1,0,0,50,21.0,0.04,0.12,0.84
holy_moses7,1594141391357108224,19,0,6,0,31,0.5714285714285714,Underperformed,0,110,18,0,1,0,0,0.01818181818181818,0,0,0,6,13,2,1,1,1,0.0,0.0,0,0,1,25,19.0,0.0,0.24,0.76
tsybka,1826161295051337729,4,0,0,0,4,1.1428571428571428,Normal,1,85,9,0,2,1,0,0.10588235294117647,0,0,0,6,13,2,1,1,1,0.0,0.0,0,0,1,4,4.0,0.0,0.0,1.0
Maximilian_evm,1943319550730326016,1,0,0,0,1,0.42857142857142855,Underperformed,0,12,2,0,1,0,0,0.16666666666666666,0,0,0,6,13,2,1,1,1,0.0,0.0,0,0,1,1,1.0,0.0,0.0,1.0
AIexey_Stark,1710348465920708608,32,1,8,0,50,0.42857142857142855,Underperformed,0,304,53,0,0,1,0,0.039473684210526314,0,0,0,6,13,2,1,1,1,0.0,0.24285714285714288,1,0,0,41,32.0,0.024390243902439025,0.1951219512195122,0.7804878048780488
AIexey_Stark,1710348465920708608,1,0,0,0,1,0.5714285714285714,Underperformed,0,50,5,0,3,0,0,0.08,0,0,0,6,13,2,1,1,1,0.0,0.0,0,0,1,1,1.0,0.0,0.0,1.0
AIexey_Stark,1710348465920708608,1,0,1,0,3,13.428571428571429,Viral,3,60,9,0,3,0,0,0.03333333333333333,0,0,0,6,13,2,1,1,1,0.0,0.1,0,0,1,2,1.0,0.0,0.5,0.5
AIexey_Stark,1710348465920708608,2,0,0,0,2,1.4285714285714286,Normal,1,91,13,0,3,0,0,0.04395604395604396,0,0,0,6,13,2,1,1,1,0.0,0.0,0,0,1,2,2.0,0.0,0.0,1.0
AIexey_Stark,1710348465920708608,1,0,0,0,1,0.2857142857142857,Underperformed,0,64,8,0,3,0,0,0.0625,1,0,0,6,13,2,1,1,1,0.0,0.3333333333333333,1,0,0,1,1.0,0.0,0.0,1.0
AIexey_Stark,1710348465920708608,1,0,0,0,1,5.571428571428571,Viral,3,59,6,0,3,0,0,0.1016949152542373,0,0,0,6,13,2,1,1,1,0.0,0.0,0,0,1,1,1.0,0.0,0.0,1.0
AIexey_Stark,1710348465920708608,0,0,0,0,0,0.26666666666666666,Underperformed,0,122,21,0,2,0,0,0.02459016393442623,0,0,0,6,13,2,1,1,1,0.0,0.23333333333333336,1,0,0,0,0.0,0.0,0.0,0.0
TheGreekTrader,1895237122145001473,127,3,17,1,167,7.6,Viral,3,119,19,0,0,1,0,0.08403361344537816,0,0,0,6,13,2,1,1,1,0.0,0.12777777777777777,1,0,0,147,42.333333333333336,0.02040816326530612,0.11564625850340136,0.8639455782312925
AIexey_Stark,1710348465920708608,1,0,1,0,3,0.26666666666666666,Underperformed,0,53,7,0,2,0,0,0.07547169811320754,1,0,0,6,13,2,1,1,1,0.0,0.0,0,0,1,2,1.0,0.0,0.5,0.5
TheGreekTrader,1895237122145001473,4,0,1,0,6,1.4666666666666666,Normal,1,81,14,0,1,0,0,0.04938271604938271,0,0,0,6,13,2,1,1,1,0.0,0.0,0,0,1,5,4.0,0.0,0.2,0.8
TheGreekTrader,1895237122145001473,12,0,0,0,12,16.705882352941178,Viral,3,191,31,0,0,1,0,0.09424083769633508,0,0,0,6,14,2,1,1,1,0.0,0.04444444444444443,0,0,1,12,12.0,0.0,0.0,1.0
Maximilian_evm,1943319550730326016,10,0,0,0,10,0.5882352941176471,Underperformed,0,66,7,0,1,1,0,0.10606060606060606,1,0,0,6,14,2,1,1,1,0.0,0.0,0,0,1,10,10.0,0.0,0.0,1.0
Maximilian_evm,1943319550730326016,196,3,56,0,314,2.0,Successful,2,29,2,0,0,1,0,0.1724137931034483,0,0,0,6,14,2,1,1,1,0.0,0.0,0,0,1,255,65.33333333333333,0.011764705882352941,0.2196078431372549,0.7686274509803922
datadashboards,1895797037464956928,42,1,14,0,72,1.0588235294117647,Normal,1,141,25,0,0,1,1,0.04964539007092199,0,0,0,6,14,2,1,1,1,0.0,0.4,1,0,0,57,42.0,0.017543859649122806,0.24561403508771928,0.7368421052631579
TheGreekTrader,1895237122145001473,1,0,0,0,1,0.0,Underperformed,0,76,13,0,1,0,0,0.039473684210526314,0,0,1,6,14,2,1,1,1,0.0,0.0,0,0,1,1,1.0,0.0,0.0,1.0
AIexey_Stark,1710348465920708608,1,0,0,0,1,0.3076923076923077,Underperformed,0,25,3,0,1,0,0,0.08,0,0,0,6,14,2,1,1,1,0.0,0.0,0,0,1,1,1.0,0.0,0.0,1.0
datadashboards,1895797037464956928,0,0,1,0,2,0.2222222222222222,Underperformed,0,33,6,0,1,0,0,0.06060606060606061,0,1,0,6,14,2,1,1,1,0.0,0.0,0,0,1,1,0.0,0.0,1.0,0.0
datadashboards,1895797037464956928,1,0,0,0,1,3.3333333333333335,Viral,3,112,24,0,1,0,0,0.0,0,0,0,6,14,2,1,1,1,0.0,0.6,1,0,0,1,1.0,0.0,0.0,1.0
datadashboards,1895797037464956928,2,1,0,0,4,0.7692307692307693,Underperformed,0,64,12,0,1,0,0,0.03125,0,1,0,6,14,2,1,1,1,0.0,0.1,0,0,1,3,2.0,0.3333333333333333,0.0,0.6666666666666666
datadashboards,1895797037464956928,1,0,0,0,1,0.2,Underperformed,0,28,4,0,1,0,0,0.0,0,1,0,6,15,2,1,1,1,0.0,0.0,0,0,1,1,1.0,0.0,0.0,1.0
datadashboards,1895797037464956928,1,0,1,0,3,1.4,Normal,1,53,9,0,1,0,0,0.0,0,0,0,6,15,2,1,1,1,0.0,0.7,1,0,0,2,1.0,0.0,0.5,0.5
datadashboards,1895797037464956928,0,0,0,0,0,0.8333333333333334,Normal,1,27,5,0,1,0,0,0.037037037037037035,0,0,0,6,15,2,1,1,1,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0.0
TheGreekTrader,1895237122145001473,2,0,0,0,2,10.666666666666666,Viral,3,56,12,0,1,0,0,0.03571428571428571,0,0,0,6,15,2,1,1,1,0.0,0.5,1,0,0,2,2.0,0.0,0.0,1.0
datadashboards,1895797037464956928,1,0,0,0,1,0.16666666666666666,Underperformed,0,28,4,0,1,0,0,0.0,0,0,0,6,15,2,1,1,1,0.0,0.0,0,0,1,1,1.0,0.0,0.0,1.0
rb_tweets,1034629472689971200,0,0,0,0,0,0.0,Underperformed,0,31,4,0,1,0,0,0.0,0,1,0,6,16,2,1,1,1,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0.0
TheGreekTrader,1895237122145001473,0,3,0,0,6,12.8,Viral,3,139,21,0,1,1,0,0.08633093525179857,0,0,0,6,16,2,1,1,1,0.0,0.12777777777777777,1,0,0,3,0.0,1.0,0.0,0.0
rb_tweets,1034629472689971200,0,0,0,0,0,0.6,Underperformed,0,122,17,0,1,1,0,0.06557377049180328,0,1,0,6,16,2,1,1,1,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0.0
holy_moses7,1594141391357108224,39,1,3,0,47,0.4,Underperformed,0,33,3,0,0,1,0,0.21212121212121213,0,0,0,6,16,2,1,1,1,0.0,0.5,1,0,0,43,39.0,0.023255813953488372,0.06976744186046512,0.9069767441860465
polymarket_O3O,1971251584429588482,0,0,0,0,0,32.2,Viral,3,42,10,0,1,0,1,0.023809523809523808,0,0,0,6,16,2,1,1,1,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0.0
TheGreekTrader,1895237122145001473,13290,85,129,10,13718,5.0,Viral,3,202,33,0,0,1,0,0.07920792079207921,0,0,0,6,17,2,1,1,1,0.0,0.4055555555555555,1,0,0,13504,156.35294117647058,0.006294431279620853,0.009552725118483412,0.9841528436018957
rb_tweets,1034629472689971200,0,0,0,0,0,3.8,Viral,3,26,4,0,1,0,0,0.07692307692307693,0,0,0,6,17,2,1,1,1,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0.0
TheGreekTrader,1895237122145001473,148,1,2,0,154,0.4,Underperformed,0,156,25,0,0,1,0,0.057692307692307696,0,0,0,6,17,2,1,1,1,0.0,0.18333333333333332,1,0,0,151,148.0,0.006622516556291391,0.013245033112582781,0.9801324503311258
ruslan55x,1519567230245404673,10,0,0,0,10,21.2,Viral,3,52,9,0,2,0,0,0.038461538461538464,0,0,0,6,17,2,1,1,1,0.0,0.0,0,0,1,10,10.0,0.0,0.0,1.0
ruslan55x,1519567230245404673,95,1,9,0,115,1.0,Normal,1,58,7,0,1,1,0,0.08620689655172414,0,0,0,6,17,2,1,1,1,0.0,0.0,0,0,1,105,95.0,0.009523809523809525,0.08571428571428572,0.9047619047619048
AIexey_Stark,1710348465920708608,35,1,18,0,73,0.8,Normal,1,304,43,0,0,2,0,0.05263157894736842,0,0,0,6,17,2,1,1,1,0.0,0.3547619047619048,1,0,0,54,35.0,0.018518518518518517,0.3333333333333333,0.6481481481481481
AIexey_Stark,1710348465920708608,1,0,0,0,1,1.0,Normal,1,33,4,0,2,0,0,0.09090909090909091,0,0,0,6,17,2,1,1,1,0.0,0.0,0,0,1,1,1.0,0.0,0.0,1.0
AIexey_Stark,1710348465920708608,1,0,0,0,1,21.2,Viral,3,62,8,0,3,0,0,0.06451612903225806,1,0,0,6,17,2,1,1,1,0.0,0.2,1,0,0,1,1.0,0.0,0.0,1.0
AIexey_Stark,1710348465920708608,2,0,1,0,4,0.2,Underperformed,0,82,10,0,3,0,0,0.04878048780487805,0,0,0,6,17,2,1,1,1,0.0,0.2,1,0,0,3,2.0,0.0,0.3333333333333333,0.6666666666666666
0xgingergirl,1907826492794613765,49,7,13,0,89,19.2,Viral,3,172,28,0,0,1,0,0.046511627906976744,0,0,0,6,17,2,1,1,1,0.0,0.14444444444444443,1,0,0,69,7.0,0.10144927536231885,0.18840579710144928,0.7101449275362319
AIexey_Stark,1710348465920708608,1,0,1,0,3,0.4,Underperformed,0,100,13,0,3,0,0,0.04,1,0,0,6,17,2,1,1,1,0.0,0.0,0,0,1,2,1.0,0.0,0.5,0.5
TheGreekTrader,1895237122145001473,307,0,4,0,315,70.6,Viral,3,70,11,0,1,0,0,0.08571428571428572,0,0,0,6,17,2,1,1,1,0.0,0.16666666666666666,1,0,0,311,307.0,0.0,0.012861736334405145,0.9871382636655949
AIexey_Stark,1710348465920708608,1,0,0,0,1,1.0,Normal,1,65,7,0,3,0,0,0.06153846153846154,1,0,0,6,17,2,1,1,1,0.0,0.0,0,0,1,1,1.0,0.0,0.0,1.0
AIexey_Stark,1710348465920708608,2,0,0,0,2,1.2,Normal,1,72,9,0,3,0,0,0.06944444444444445,1,0,0,6,17,2,1,1,1,0.0,0.0,0,0,1,2,2.0,0.0,0.0,1.0
AIexey_Stark,1710348465920708608,1,0,0,0,1,0.4,Underperformed,0,77,9,0,3,0,0,0.05194805194805195,0,0,0,6,17,2,1,1,1,0.0,0.0,0,0,1,1,1.0,0.0,0.0,1.0
AIexey_Stark,1710348465920708608,1,0,1,0,3,0.4,Underperformed,0,61,7,0,3,0,0,0.08196721311475409,0,0,0,6,17,2,1,1,1,0.0,0.0,0,0,1,2,1.0,0.0,0.5,0.5
polymarket_O3O,1971251584429588482,12,0,3,1,18,0.0,Underperformed,0,297,45,0,1,1,1,0.06060606060606061,1,0,0,6,17,2,1,1,1,0.0,0.10700000000000001,1,0,0,15,12.0,0.0,0.2,0.8
polymarket_O3O,1971251584429588482,3,0,1,0,5,0.2,Underperformed,0,295,46,0,0,1,0,0.04067796610169491,1,0,0,6,17,2,1,1,1,0.0,-0.23257575757575757,0,1,0,4,3.0,0.0,0.25,0.75
polymarket_O3O,1971251584429588482,1,0,1,0,3,0.2,Underperformed,0,276,51,0,0,0,0,0.06159420289855073,1,0,0,6,17,2,1,1,1,0.0,0.009999999999999998,0,0,1,2,1.0,0.0,0.5,0.5
AIexey_Stark,1710348465920708608,1,0,1,0,3,10.0,Viral,3,310,64,0,3,0,0,0.07419354838709677,0,0,0,6,17,2,1,1,1,0.0,0.0,0,0,1,2,1.0,0.0,0.5,0.5
AIexey_Stark,1710348465920708608,0,0,1,0,2,21.6,Viral,3,50,5,0,3,0,0,0.08,0,0,0,6,17,2,1,1,1,0.0,-0.375,0,1,0,1,0.0,0.0,1.0,0.0
AIexey_Stark,1710348465920708608,1,0,0,0,1,18.4,Viral,3,43,4,0,3,0,0,0.06976744186046512,0,0,0,6,17,2,1,1,1,0.0,0.0,0,0,1,1,1.0,0.0,0.0,1.0
polymarket_O3O,1971251584429588482,0,0,0,0,0,0.8,Normal,1,82,11,0,2,0,0,0.07317073170731707,1,0,0,6,17,2,1,1,1,0.0,0.375,1,0,0,0,0.0,0.0,0.0,0.0
TheGreekTrader,1895237122145001473,94,0,2,0,98,2.6,Viral,3,76,16,0,1,0,0,0.039473684210526314,0,0,0,6,18,2,1,0,1,0.0,0.5,1,0,0,96,94.0,0.0,0.020833333333333332,0.9791666666666666
locksy,1690477851638730752,125,3,17,0,165,5.8,Viral,3,157,27,0,0,1,1,0.21019108280254778,0,1,0,6,18,2,1,0,1,0.0,0.625,1,0,0,145,41.666666666666664,0.020689655172413793,0.11724137931034483,0.8620689655172413
TheGreekTrader,1895237122145001473,1,0,1,0,3,2.6,Viral,3,30,6,0,1,0,0,0.0,1,0,0,6,18,2,1,0,1,0.0,0.0,0,0,1,2,1.0,0.0,0.5,0.5
0xgingergirl,1907826492794613765,1,0,0,0,1,29.818181818181817,Viral,3,17,3,0,1,0,0,0.35294117647058826,0,0,0,6,18,2,1,0,1,0.0,0.0,0,0,1,1,1.0,0.0,0.0,1.0
0xgingergirl,1907826492794613765,1,0,1,0,3,0.10526315789473684,Underperformed,0,44,7,0,1,0,0,0.06818181818181818,0,0,0,6,18,2,1,0,1,0.0,0.0,0,0,1,2,1.0,0.0,0.5,0.5
0xgingergirl,1907826492794613765,3,1,1,0,7,0.36363636363636365,Underperformed,0,37,6,0,1,0,0,0.08108108108108109,0,0,0,6,18,2,1,0,1,0.0,0.9,1,0,0,5,3.0,0.2,0.2,0.6
Maximilian_evm,1943319550730326016,5,0,0,0,5,13.636363636363637,Viral,3,42,4,0,1,0,0,0.07142857142857142,0,0,0,6,18,2,1,0,1,0.0,-0.15,0,1,0,5,5.0,0.0,0.0,1.0
CarOnPolymarket,1966325768499376131,102,2,17,1,140,0.5454545454545454,Underperformed,0,203,31,0,1,2,0,0.06896551724137931,0,1,0,6,18,2,1,0,1,0.0,0.43333333333333335,1,0,0,121,51.0,0.01652892561983471,0.14049586776859505,0.8429752066115702
tsybka,1826161295051337729,2,0,0,0,2,0.5454545454545454,Underperformed,0,17,2,0,1,0,0,0.058823529411764705,0,0,0,6,18,2,1,0,1,0.0,0.0,0,0,1,2,2.0,0.0,0.0,1.0
CarOnPolymarket,1966325768499376131,8,0,1,0,10,0.2222222222222222,Underperformed,0,33,4,0,1,0,0,0.06060606060606061,0,0,0,6,18,2,1,0,1,0.0,0.0,0,0,1,9,8.0,0.0,0.1111111111111111,0.8888888888888888
